"year","sst","msy_r","msy_f"
1850,12.6485886662413,34919345.436588,38056732.6954361
1851,12.8362917019733,34719556.5319572,35319978.2248353
1852,12.8124497057986,34666457.41171,38086156.5113555
1853,12.7810045673379,34602588.4667292,36605235.2792842
1854,12.7533712552914,34699439.2858769,37073907.5435485
1855,12.7956981873425,35042188.0897493,36599878.4012953
1856,12.6766887859497,34918771.772179,37039029.3422342
1857,12.6656608240909,34829045.5084516,38013801.7446227
1858,12.7601996981057,34768012.1862847,36644537.670182
1859,12.7292942226879,34651663.5986834,36757009.1804047
1860,12.7127275537438,34873691.0164819,37063519.3039604
1861,12.685469672912,34923126.130321,36527875.6451852
1862,12.7215646610349,35069171.7254223,37170226.5462882
1863,12.6997884436522,34889288.9058425,37025728.5741176
1864,12.7601215433734,34808291.9166305,36307426.2758038
1865,12.8633763707995,34792981.9130295,35309878.5649764
1866,12.8639298277879,34754441.7723999,35460703.9958255
1867,12.8064688383603,34817183.0800615,35545401.7229139
1868,12.8413385461167,34508591.240108,35634292.0992844
1869,12.7859237493367,34622907.6011141,36172831.53274
1870,12.7643849923604,34608317.7875879,36428607.2113434
1871,12.6878274598254,34882378.1893872,37126701.308368
1872,12.6927648489661,34720327.1558748,38044248.9224471
1873,12.6377611128247,34907825.9782533,38065028.4118551
1874,12.6498731656934,34785043.6088692,37087356.7168205
1875,12.7339610491714,34713367.019628,36162246.2952546
1876,12.7078417822291,34928022.6977787,36802129.766169
1877,13.0045591929243,34827570.7675814,35786388.5420674
1878,13.0708756892858,34294899.9245124,33902243.7638417
1879,12.7989586075306,35010189.3681552,35900064.0758371
1880,12.7917426114328,34638859.3881427,36107689.1823424
1881,12.7869018155878,34967233.9814795,37397900.6498202
1882,12.6983005721391,34603813.414438,37081265.4968357
1883,12.7559113375451,34788862.9989182,36996834.4819308
1884,12.7735563350449,34885807.3105492,41454616.567829
1885,12.8032092335577,35268903.1894605,37656241.4990826
1886,12.7719226598475,35139244.7803257,37445066.1785234
1887,12.6340321900638,35218060.4403489,37084673.7400162
