"year","sst","msy_r","msy_f"
1888,12.7134347818646,35551240.7586203,38443511.6116698
1889,12.8064673934184,34878865.3868889,37253147.0156204
1890,12.6076431428344,34888840.915028,37108930.8984218
1891,12.6843957369194,35280087.9628838,38039543.5340331
1892,12.5139278683773,35314588.4200547,39738901.5737323
1893,12.5321744904497,35089115.7872574,40839977.2201215
1894,12.5357767209293,35033434.8056472,38707056.1925403
1895,12.5967450991426,35218612.2076051,39361627.6273012
1896,12.8329519820781,34782011.8281828,35088457.9577003
1897,12.7987623984654,34883485.4856917,35325526.9103537
1898,12.7746665356878,34657844.3036079,35717069.88705
1899,12.7545177609045,34851494.6756449,36206321.3659237
1900,12.8517563447653,34850342.5261485,35695370.1933634
1901,12.6347329906364,35116390.3836816,37825001.2459849
1902,12.529584362999,35668776.0997856,42934291.0737202
1903,12.4024266541751,35329215.3398658,40557527.0484572
1904,12.4769998961533,35461325.8242191,39118899.548056
1905,12.5508279990955,35276711.6800718,38841040.4009623
1906,12.618127401134,35155721.5265178,38620317.2698806
1907,12.4407762774902,35406338.1188258,40080050.1092132
1908,12.3866541124088,35426027.1128267,41367283.2320865
1909,12.3117353595131,35472141.0361417,41079140.3739405
1910,12.312019759881,35405748.3024488,45509110.5046595
1911,12.3931589679219,35321848.1554517,43740603.6619395
1912,12.5000095409759,35235563.6722144,42286346.1724309
1913,12.53010671042,35207987.3952622,40963432.7763031
1914,12.7013823102846,34769048.4267684,38542795.5583069
1915,12.7731545541581,34921437.7908861,37516925.3254902
1916,12.4564918775523,35110720.7848201,40367832.6202783
1917,12.4496379910881,35665595.3037725,42684694.3002177
1918,12.6306064342496,35669984.8331267,40484507.7172351
1919,12.57591280643,35561654.2642201,38890480.8560323
1920,12.6386398627274,35038294.8842457,37360766.1771893
1921,12.6991369453748,34790990.0182803,37255267.8643541
1922,12.5802280056179,35103434.258314,38597281.4664896
1923,12.6195821263238,35217928.5456936,39459930.7135575
1924,12.5556427082705,35237255.2250938,40026360.7361182
1925,12.7447234995805,35040293.2215652,37061877.9093932
1926,13.0030432371266,34621886.7904227,37492840.7122382
1927,12.7688633186009,34985623.5620842,38831980.6242635
1928,12.7054709004959,35109605.507887,39229021.4870844
1929,12.6878891586452,35210798.6929472,39620421.797367
1930,12.9245248409862,34670915.6739295,34202005.6368404
1931,12.9096772007006,35056507.5436965,35946430.6645989
1932,12.8339511816341,34853857.8118121,37407967.3906641
1933,12.7462198458922,34535656.9454945,35782376.789046
1934,12.9821886850722,34846887.7436913,38621625.5922213
1935,12.8737984702382,34634150.5897698,37867382.7780812
1936,13.0553592256306,34731068.6033753,37348390.2966468
1937,13.086380258522,34469882.9541594,35058369.0605456
1938,13.0112956093725,34600606.5322037,36408933.175203
1939,12.9666282782325,34740554.7267857,37025126.4998802
1940,13.0756985404829,35296070.4191543,37401421.5615357
1941,13.1604976238787,35209961.8208643,38285340.9288214
1942,13.1407884742979,34560609.9641601,34902937.3948885
1943,13.1263824904901,34545636.5997029,34684882.7733349
1944,13.1679266050355,34535494.5320356,33550904.8582955
1945,13.1655598972724,34143517.1168453,32892137.2568189
1946,12.9094550733784,34437066.6710396,34833643.1702747
1947,12.9305577439111,34942255.4125871,36724730.2495357
1948,12.9169712395805,34708206.3023025,35636036.8113051
1949,13.0343741195027,34452601.1698955,35301281.9905273
1950,12.9564582626039,34355128.0159185,34724949.4521953
1951,13.0697922193848,34881393.4373366,36228371.956958
1952,13.0130352172272,34677983.5539032,35031952.455001
1953,13.1286723316611,34312093.9024244,33590299.5376123
1954,13.0050522322086,34307951.497519,33886437.0183923
1955,12.8348493367901,34589526.7508852,35429504.8157587
1956,12.8263751655153,34971506.1634452,35778788.3663956
1957,13.184467348562,34615232.2228032,34563808.0945703
1958,13.2505697420054,34617268.2953426,34807664.3102475
1959,13.21468805267,34079659.6034869,34340610.8822784
1960,13.0912883361814,34207937.4474297,33731454.1887811
1961,13.1606495616143,34147557.5194367,33279410.4623446
1962,12.9604076984047,34874052.8950758,35369239.2694113
1963,13.0499190851368,35041788.0198342,35646735.2939707
1964,12.8362780197986,34426214.2611837,33672675.39723
1965,12.82013996782,35151756.3496041,36330880.4476104
1966,12.8817801345999,34571174.0595943,36365209.339148
1967,13.0608237935626,33937458.8963648,32675361.0228757
1968,12.9635110524993,34388910.5077677,34977986.7914792
1969,13.0110718807104,34552842.7252946,34487164.6759339
1970,12.9240387025144,34679775.1581766,34051528.3636263
1971,12.8024520887917,34755719.7695964,36887257.1491159
1972,12.8762954486369,34881301.6544137,34694893.4334711
1973,12.9064813600348,34496372.5236009,34959657.0104914
1974,12.912431977805,34522687.4422853,35426482.5149655
1975,12.8335255668464,34456164.3748687,34315171.0233237
1976,12.8494149944006,34904210.4574447,35735041.5770472
1977,13.0017531763032,34422126.6032079,32986332.5558233
1978,13.0516655790227,34368649.1317099,33590125.0081749
1979,13.106019337472,34673287.5289533,33324858.641172
1980,13.0063120036558,34618848.876725,33684487.251931
1981,13.0732437437428,34719996.227686,34973892.566497
1982,12.9711529476602,34742114.8508455,35060787.5050263
1983,13.2826836536946,34910865.0538946,33350497.0077462
1984,13.0810311188795,34630408.9032791,33536180.724256
1985,12.9251051503869,34826122.6435396,34180330.8407942
1986,12.97842877478,35096482.9158772,35236450.6598632
1987,13.0446566977692,34836700.9835263,34566427.9801309
1988,12.9451380829334,34311544.1432425,32842114.9993355
1989,13.1491588769627,34152209.5256927,32358290.8032987
1990,13.2393908194303,34036713.5978117,32021369.5167242
1991,13.0141519095164,34378905.1774465,32533435.628262
1992,13.1312639918017,34627168.4367429,33136431.2713738
1993,13.0784883232497,34767561.3121216,33495585.7804582
1994,13.1210359621678,34304178.3576565,31656366.7377699
1995,13.212971191921,34090569.4081556,31112770.645474
1996,13.0723062716419,34400096.7553643,32790156.2371089
1997,13.4667210038264,34231944.8031285,32621878.5014248
1998,13.4720891732055,34032703.9598122,32451411.943922
1999,13.2206611350863,34089343.9524959,33111009.5262285
2000,13.2678807692597,34002608.0392476,32060077.0873014
2001,13.2702228866612,33830715.7745194,31435447.8974986
2002,13.3260897029932,33785374.783735,32381057.3233958
2003,13.4538682846362,33344783.3870034,31400846.4634437
2004,13.4073060333284,33501819.5254092,30459512.4125603
2005,13.4847164171455,33631925.9470662,30679692.6577341
2006,13.4162612419338,33811694.9528267,31437849.9658396
2007,13.3007908445,33618484.6822931,31513708.2708883
2008,13.2345365155747,33910532.43671,31534868.6486299
2009,13.2656276824681,34007909.3809034,31659256.3645521
2010,13.2959432322861,34157354.0038595,32732692.5472473
2011,13.2688587303334,34310191.4553556,32780031.7873777
2012,13.3911182994507,34664604.7203835,34233200.9340922
2013,13.4349562350572,34160797.9258751,32414511.3792991
2014,13.8615707317405,33424135.7220111,31455144.7169995
2015,13.8704359946371,33917661.1103429,31590021.7321763
