"year","sst","msy","msy_lo","msy_hi"
1938,13.0112956093725,34877823.7991931,30071471.0113824,40877072.3154237
1939,12.9666282782325,35021320.5446944,31646202.747348,39181901.2576605
1940,13.0756985404829,36166384.2979319,31520164.9885246,42253857.5346775
1941,13.1604976238787,36239879.8901863,30185908.9731313,44333599.6965689
1942,13.1407884742979,35176368.9469257,31340963.0053354,39681622.6621978
1943,13.1263824904901,34676829.4603585,31908394.1327039,37880163.6023638
1944,13.1679266050355,34897566.6233635,33352828.2339078,36588446.4667729
1945,13.1655598972724,34317699.1724704,33060341.6014601,35649405.6850563
1946,12.9094550733784,34507724.5574151,31709927.6328889,37618181.9593197
1947,12.9305577439111,35377453.3132194,31521689.4173874,39966374.6456101
1948,12.9169712395805,34848236.3497973,32336576.4533265,37656478.950012
1949,13.0343741195027,34275108.4187473,31687910.5977904,37279701.5111585
1950,12.9564582626039,34247268.0642597,30388735.2707946,38793399.6174241
1951,13.0697922193848,35294335.0184729,32443923.8533442,38537336.0453354
1952,13.0130352172272,34994599.859374,31720042.832821,38725145.0453679
1953,13.1286723316611,34431442.256836,32986902.7498195,35972785.1859527
1954,13.0050522322086,34609584.5351377,31202255.1589002,38742475.3505578
1955,12.8348493367901,34626162.1586348,30330971.109708,39842742.9347778
1956,12.8263751655153,35139606.9749866,31206410.4325896,39813958.8342502
1957,13.184467348562,34909843.6889829,31620855.6460152,38703193.3786165
1958,13.2505697420054,34915559.9657406,32455357.0542009,37661884.7008205
1959,13.21468805267,33939005.2075264,31717900.3764567,36474027.92106
1960,13.0912883361814,34278488.7285612,31960593.6784687,36846276.1990909
1961,13.1606495616143,34082617.6638747,32005012.8757454,36355497.6228157
1962,12.9604076984047,35315833.9570392,31632658.1656129,39616775.7477359
1963,13.0499190851368,35543251.7214203,32111183.110922,39557501.0319521
1964,12.8362780197986,34569207.0639931,30676877.5159447,39222163.6223649
1965,12.82013996782,35490784.6413122,31013145.1721102,40868218.7877803
1966,12.8817801345999,34732537.6480851,31108648.0381539,38944081.549995
1967,13.0608237935626,34101785.2475766,30375018.9415125,38604536.3581506
1968,12.9635110524993,34486484.0324127,30933948.4049047,38620827.8933365
1969,13.0110718807104,34747802.5749639,32710667.5002306,36969725.3266217
1970,12.9240387025144,35151817.5407628,31288290.4838049,39740278.8523859
1971,12.8024520887917,34710994.2314041,30088144.1265843,40431342.7220839
1972,12.8762954486369,34780603.1208355,31563363.2052759,38729405.4628623
1973,12.9064813600348,34436057.4653448,30829367.0567001,38689151.0233637
1974,12.912431977805,34661257.4059855,31234494.225539,38751400.7766275
1975,12.8335255668464,34434000.245802,30634503.5032053,38983500.9676815
1976,12.8494149944006,34948363.8595177,31196122.4674394,39388313.4984918
1977,13.0017531763032,34735297.1578009,32412425.2196324,37345704.0472146
1978,13.0516655790227,34761169.9584335,32138803.2118024,37724007.5251609
1979,13.106019337472,35559192.1025871,32264693.4245236,39672819.4542129
1980,13.0063120036558,34861275.4421935,32735383.7088688,37232691.9927474
1981,13.0732437437428,35453149.2317841,31366198.3643275,40296395.5108211
1982,12.9711529476602,34854595.4062706,31813095.0752407,38265861.2927222
1983,13.2826836536946,35278613.1211114,30474550.6076048,42290301.4802333
1984,13.0810311188795,35095536.883705,32756614.771741,37725438.7789817
1985,12.9251051503869,35307640.4194525,32045510.6516395,39091208.6865339
1986,12.97842877478,35819106.9054311,32682038.3115059,39658811.7507552
1987,13.0446566977692,35254397.3357212,31113186.8943192,40280168.042891
1988,12.9451380829334,34372155.4874978,32068851.6349302,36913218.7867714
1989,13.1491588769627,34165560.2077211,32818434.7632416,35618019.3331051
1990,13.2393908194303,33908849.7213032,31775282.9509329,36253577.0743651
1991,13.0141519095164,34459091.7399917,32673659.9227076,36420012.2074906
1992,13.1312639918017,34587888.292345,31242097.1736855,38590903.6402798
1993,13.0784883232497,35143057.2036177,31828843.8650745,38983688.6979113
1994,13.1210359621678,34312125.4782532,32131641.3685046,36734646.9808526
1995,13.212971191921,34098483.7363693,32752618.5970689,35542320.8448611
1996,13.0723062716419,34908369.5260169,32178648.3812447,37997156.5345809
1997,13.4667210038264,34065973.5788038,28996974.2363145,41431091.288123
1998,13.4720891732055,33702681.2671716,29083374.8017384,39713765.928656
1999,13.2206611350863,33872007.5637755,30388753.5909829,37936939.4040389
2000,13.2678807692597,33976324.6267012,31960419.4019124,36220297.03448
2001,13.2702228866612,33887492.735659,31124119.656875,36975628.5603638
2002,13.3260897029932,33807565.359776,31098246.0969854,36909220.8111975
2003,13.4538682846362,33332572.4237892,30645282.1258178,36553180.1624898
2004,13.4073060333284,33418346.5785496,30449187.2654764,36819117.4868861
2005,13.4847164171455,33763521.128917,30702976.6167571,37273434.8146436
2006,13.4162612419338,33807296.809148,31194756.4327867,36883094.8227997
2007,13.3007908445,33398569.1287244,29792071.3834254,37573574.7189595
2008,13.2345365155747,33698172.8175413,30228204.8677705,37693224.4128416
2009,13.2656276824681,33870032.3763299,30629666.5461411,37544080.2428382
2010,13.2959432322861,34180550.5168197,30179373.7199609,38935493.7744535
2011,13.2688587303334,34400179.905845,31310211.0522422,37926914.0460498
2012,13.3911182994507,34874127.034712,30212362.0341759,40871590.0840675
2013,13.4349562350572,34439237.0363704,30585927.2291376,39095862.4590235
2014,13.8615707317405,33599140.5885938,29434284.0521952,38945873.0161557
2015,13.8704359946371,34225913.1241636,28549423.3846665,41600303.1475604
