"year","sst","msy","msy_lo","msy_hi"
1850,12.6485886662413,40761880.8988318,32153907.9060889,52330618.4168704
1851,12.8362917019733,41010020.4943021,35162005.107842,48101953.1458075
1852,12.8124497057986,40565639.1925914,32526131.6179405,51623944.3911972
1853,12.7810045673379,40320153.4123042,32920458.9999202,49963955.0730556
1854,12.7533712552914,40278633.3847161,32815823.6946692,50113340.8117988
1855,12.7956981873425,41782420.9199908,34634112.43708,51031198.5179449
1856,12.6766887859497,41503363.8362633,32769246.0208715,53164315.2352184
1857,12.6656608240909,41070283.3421129,31755191.6658182,54090918.1342551
1858,12.7601996981057,41010431.9637457,33437042.6727004,50749961.0275767
1859,12.7292942226879,40433254.8847639,32756097.8576186,50448363.7271585
1860,12.7127275537438,41005598.6838297,32113799.4770779,53021397.9686461
1861,12.685469672912,41300277.5573049,33329851.6092176,51611531.0412409
1862,12.7215646610349,41946447.3090323,33880732.2233005,52796180.1551768
1863,12.6997884436522,40950092.353341,33011718.8034766,51431766.3324822
1864,12.7601215433734,41236922.5429177,33318197.9586884,51568952.9860175
1865,12.8633763707995,41340160.8704472,36099068.9970369,47733706.2541665
1866,12.8639298277879,41101917.0470544,35276617.7258241,48264702.7496564
1867,12.8064688383603,41449929.4814129,35476618.7325162,48935681.162998
1868,12.8413385461167,40691665.6724844,34428951.1908832,49016222.0373442
1869,12.7859237493367,40778583.6121417,33943655.9816446,49681283.9062939
1870,12.7643849923604,40391565.8684426,33099584.0797235,49917429.8902875
1871,12.6878274598254,41055842.8453288,33116563.7917216,51471483.7629089
1872,12.6927648489661,40254171.4102611,32024553.8911283,51409439.3841275
1873,12.6377611128247,41009190.6626327,31061563.4809478,54755180.0812652
1874,12.6498731656934,40980195.5657073,31403144.1733151,54127866.4743981
1875,12.7339610491714,40945237.7421983,33100870.8985067,51070571.7419148
1876,12.7078417822291,41515189.3254333,32769850.0977781,53200673.202901
1877,13.0045591929243,42369075.290741,36155218.7757638,50409208.3784224
1878,13.0708756892858,40712326.5546358,36581198.4208976,45560934.2943132
