"year","sst","msy","msy_lo","msy_hi"
1879,12.7989586075306,42370704.2346312,35999913.8847629,51180705.6711316
1880,12.7917426114328,40702315.6132516,34799202.51238,47984022.348597
1881,12.7869018155878,41947598.3227943,34727656.9725434,51512011.1993151
1882,12.6983005721391,40760427.4249431,34185476.0596043,49017597.5160398
1883,12.7559113375451,41023291.3401435,34062059.2627592,49911021.1490296
1884,12.7735563350449,41841608.359664,34784848.1793572,51350485.2723396
1885,12.8032092335577,43033673.5276627,33996091.0601826,55934889.7619514
1886,12.7719226598475,42431662.1117912,33312608.4031173,54886688.6549165
1887,12.6340321900638,42324836.5138688,32514013.7785328,55936769.3697378
1888,12.7134347818646,43598323.8821869,34642675.7782989,57050055.8286858
1889,12.8064673934184,41096688.643837,33612226.7390779,51099322.2974955
1890,12.6076431428344,40763039.689595,31365630.018227,53616684.5084195
1891,12.6843957369194,42435024.6371156,33518079.1120187,54983144.2802291
1892,12.5139278683773,41908210.6092156,30274072.0644113,59106124.3512748
1893,12.5321744904497,41970859.3877454,30033287.2986994,60184503.5036769
1894,12.5357767209293,40920886.7632323,31459206.9017978,54059441.3147967
1895,12.5967450991426,41864434.0677244,32041503.4257568,55462234.2946071
1896,12.8329519820781,41304951.2256977,35560235.8851019,48306358.9467575
1897,12.7987623984654,41772935.2614068,35561201.6066213,49619781.7527289
1898,12.7746665356878,40770719.0819824,33676486.4109849,49983290.4371541
1899,12.7545177609045,41596063.9784827,35351013.4978302,49618400.583945
1900,12.8517563447653,41820145.0840111,35438124.6834735,49984865.0302289
1901,12.6347329906364,42547481.3751137,33860791.7904816,54737575.6234558
1902,12.529584362999,43894663.7846728,32572293.0703736,62286490.332181
1903,12.4024266541751,42145628.3154396,29990410.3977048,60769629.8198709
1904,12.4769998961533,43174211.2493651,32746263.5581414,59860625.4928124
1905,12.5508279990955,43221878.2072949,33009689.6318451,59787206.4656886
1906,12.618127401134,42565949.0984336,31590884.9968505,58894250.867869
1907,12.4407762774902,43016104.3962949,30037868.1651986,63814375.889942
1908,12.3866541124088,43200377.6255233,29432285.1845076,66630279.9503278
1909,12.3117353595131,42381699.9946934,28931809.9923845,63187928.7953305
1910,12.312019759881,41867093.7622869,27704753.142021,65453740.4439087
1911,12.3931589679219,41543228.8322222,29863718.3231586,60042135.0149537
1912,12.5000095409759,41986884.899492,31474996.9773034,58354240.9118192
1913,12.53010671042,42337986.1995483,32227292.4074976,57938789.573776
1914,12.7013823102846,40248906.6779563,33044164.3134892,50280696.7902345
1915,12.7731545541581,41389265.5626223,34442519.6258985,50921910.3388779
1916,12.4564918775523,40847889.9954523,29761595.4123012,57361900.8852766
1917,12.4496379910881,43304075.9139172,30965287.8505923,62196890.8097678
1918,12.6306064342496,43405468.3051189,32921550.0933263,59101853.9478908
1919,12.57591280643,42945975.8728856,33552616.1824929,56389934.0867642
1920,12.6386398627274,40943940.0524941,32924814.2005907,51839050.6660915
1921,12.6991369453748,40348287.1017635,31198942.7035895,53295830.4314162
1922,12.5802280056179,41139656.9852258,30992102.82608,56106041.8150532
1923,12.6195821263238,41648944.4641162,31620357.1387146,56668072.0987926
1924,12.5556427082705,41638412.5782107,29716261.2543463,59879608.1346154
1925,12.7447234995805,41501511.7205869,33897326.2745353,52054141.4338471
1926,13.0030432371266,42181806.0656617,34142985.2451515,54075024.3633675
1927,12.7688633186009,41779365.5602065,32194978.5029554,55210023.4131713
1928,12.7054709004959,41500993.5358163,31278258.8758028,56094967.4858538
1929,12.6878891586452,42382587.4190772,32303796.1141344,57272474.990848
1930,12.9245248409862,40454065.025417,35893981.3591045,45940118.5404836
1931,12.9096772007006,42194357.4145172,35537580.7162653,51210197.9356074
1932,12.8339511816341,41461583.0682595,34774411.7033736,50556835.543067
1933,12.7462198458922,40178137.9438901,32422136.5452937,50594626.8458288
1934,12.9821886850722,42207683.4474143,32692143.9792388,57336156.936914
1935,12.8737984702382,41484976.6832779,33071828.7468697,53937175.2365323
1936,13.0553592256306,42353291.8598317,33170484.5332177,56713589.1923231
1937,13.086380258522,40552098.4341266,34503525.5025936,48185947.3110083
1938,13.0112956093725,40799731.5558611,32383717.6686241,52637919.9085968
1939,12.9666282782325,41794348.0890257,35536841.4528806,50776506.7819995
1940,13.0756985404829,44451388.7656066,36287058.4439541,57511880.2076381
1941,13.1604976238787,44440585.025088,34681481.5857932,60483851.8281159
1942,13.1407884742979,41716558.8082778,35382096.0087466,49865627.9459687
1943,13.1263824904901,41223187.8529774,36589803.112873,47126741.8356552
1944,13.1679266050355,40982856.8514854,38569131.5599655,43795042.2011897
1945,13.1655598972724,40144261.0855171,38040926.7817838,42463033.349845
1946,12.9094550733784,40241483.4109399,35193014.642718,46268546.9143633
1947,12.9305577439111,42118033.7588421,35216106.8163999,51371627.928155
1948,12.9169712395805,41130039.7687595,36827482.7924688,46299953.1344006
1949,13.0343741195027,39914937.9015636,35466997.9344722,45582373.9847027
1950,12.9564582626039,39116193.1247534,32517029.7312718,47651695.6911839
1951,13.0697922193848,40916346.4577362,35807818.8107487,47264513.0756648
1952,13.0130352172272,40397273.5971389,35037683.9547701,47023495.7565592
1953,13.1286723316611,40097193.6393001,37291864.8781506,43256985.95074
1954,13.0050522322086,39666364.2940445,33698657.1949169,47505522.8160131
1955,12.8348493367901,39688469.8860141,32226878.8286139,49834884.0524783
1956,12.8263751655153,40646946.6677737,33737997.2997265,49832035.6803992
1957,13.184467348562,41405237.5231815,36226942.9081135,47758914.4844982
1958,13.2505697420054,41048799.3755775,36870904.6824971,46036676.5132149
1959,13.21468805267,39317982.4090899,34790519.7315262,45022349.1865747
1960,13.0912883361814,39912665.8607965,36152883.8520849,44278030.0050113
1961,13.1606495616143,39459776.5712509,35763754.0001741,43761366.7569413
1962,12.9604076984047,41486170.7200205,35697259.2353425,48863841.3290592
1963,13.0499190851368,42120421.8204495,36363841.4908003,49566009.7293137
1964,12.8362780197986,40075821.0332704,33761763.4348091,48204882.0889941
1965,12.82013996782,42440015.4738158,35536008.3516008,51789729.5314028
1966,12.8817801345999,40311173.4064128,33996370.790896,48474552.4097548
1967,13.0608237935626,39059725.779653,32848726.1304961,47284215.009413
1968,12.9635110524993,40444502.3495648,34870121.3671546,47367488.1593163
1969,13.0110718807104,40840677.7458141,37267674.04657,44956826.1056495
1970,12.9240387025144,40937828.740736,34410445.829194,49274095.3791062
1971,12.8024520887917,40151075.6722664,32485048.485671,50747496.8643139
1972,12.8762954486369,40821296.4426261,36224249.9536837,46968915.8980942
1973,12.9064813600348,39419110.0060576,32906375.1996964,48105501.1485784
1974,12.912431977805,40107991.1791,33796541.1730636,48548324.2178841
1975,12.8335255668464,39626066.0578962,33330414.1154741,47879201.7305136
1976,12.8494149944006,41145146.8551753,34444625.2097939,49908892.2654216
1977,13.0017531763032,40812182.1529736,37029264.8476547,45311239.3342275
1978,13.0516655790227,40632090.4499767,36729831.1557387,45386697.7364006
1979,13.106019337472,42119370.0401639,36185259.2187395,50539878.6111877
1980,13.0063120036558,41506969.9546022,37588696.2160846,46156677.1951134
1981,13.0732437437428,42600811.3013007,35655062.0061327,51699901.5544316
1982,12.9711529476602,41447292.2423448,36435818.8614881,47406520.9179917
1983,13.2826836536946,42079674.1168,34905009.1988841,52803171.4900211
1984,13.0810311188795,41276470.0436451,37132499.2187507,46300001.2508732
1985,12.9251051503869,41910283.8809407,36486754.7558091,48755823.8170517
1986,12.97842877478,42701369.8703058,37605220.1783169,49742941.2742525
1987,13.0446566977692,42277372.8746222,35564535.0238419,50887928.0144396
1988,12.9451380829334,40198573.6831452,36699275.8470131,44280015.4737695
1989,13.1491588769627,40131044.1686526,37802712.7071956,42734482.0147536
1990,13.2393908194303,39251503.7031833,35741679.095974,43328508.8512133
1991,13.0141519095164,40162847.4572127,37065121.0756475,43760047.4336985
1992,13.1312639918017,41111395.8414335,36026145.29782,47435817.3876363
1993,13.0784883232497,41827560.6126287,36666470.9144614,48108531.7636264
1994,13.1210359621678,40104175.0639432,36394281.5083934,44430533.6872457
1995,13.212971191921,40009285.0304086,37711279.9403997,42570079.9908763
1996,13.0723062716419,41162260.2629082,36709765.2042146,46553956.8160792
1997,13.4667210038264,40953960.6940262,32768348.8615251,53292289.8562687
1998,13.4720891732055,39893866.4736114,32478293.5747557,50140320.3989517
1999,13.2206611350863,38795755.7874966,33307807.8123442,45832132.0161016
2000,13.2678807692597,39218041.4158982,35646921.2035857,43500423.9602713
2001,13.2702228866612,38920648.8453974,34338773.7917408,44334381.511073
2002,13.3260897029932,39250569.54846,34783307.4851061,44731931.0168134
2003,13.4538682846362,39318896.6637742,34735049.2741865,45331210.4569083
2004,13.4073060333284,39237469.9760906,34172828.9160763,45461324.0258355
2005,13.4847164171455,39416038.505506,34738105.6273342,45196091.1072905
2006,13.4162612419338,39993263.8444869,35012848.0390051,46365895.3742167
2007,13.3007908445,38293480.7079593,32264850.4359875,45832298.4738703
2008,13.2345365155747,39626711.5486182,33565760.8825407,47206581.8578447
2009,13.2656276824681,39840677.9928247,34650542.0989203,46093914.3904582
2010,13.2959432322861,39322469.4889545,32504620.3871535,48289134.5745116
2011,13.2688587303334,40016075.8153301,34981266.42262,46192391.2632848
2012,13.3911182994507,40648795.6101101,33863270.4171087,50720603.6153229
2013,13.4349562350572,40282305.5248727,34333046.4304392,48150203.9242013
2014,13.8615707317405,39352743.0431935,33235426.3109289,48506524.4660034
2015,13.8704359946371,40496644.9666371,31978988.527778,52742157.9758962
