"assessid","stockid","country","region","area","method","method1","method2","species","comm_name","b0_true","msy_true","type","class","order","family","genus","taxa_level","linf_cm","vonb_k","winf_kg","tmax_yr","tmat_yr","m","lmat_cm","temp_c","habitat","depth_m_mid","depth_m_min","depth_m_max","comm_depth_m_min","comm_depth_m_max","troph","feeding","lme_name","fao_area","long_dd","lat_dd","lat_dd_abs","area_sqkm","n","yr1","yr2","sst_c_avg","sst_c_trend","tb_max","tb_avg","tb_trend","tb_sd_trend","catch_avg","bbmsy_n","bbmsy_avg","ffmsy_n","ffmsy_avg","sst_c_avg2","sst_c_trend2","r_f","r_se_f","r_lo_f","r_hi_f","k_f","k_se_f","k_lo_f","k_hi_f","betaT_f","betaT_se_f","betaT_lo_f","betaT_hi_f","betaT_inf_f","sigmaP_f","sigmaP_se_f","sigmaP_lo_f","sigmaP_hi_f","r_r","r_se_r","r_lo_r","r_hi_r","k_r","k_se_r","k_lo_r","k_hi_r","betaT_r","betaT_se_r","betaT_lo_r","betaT_hi_r","betaT_inf_r","sigmaP_r","sigmaP_se_r","sigmaP_lo_r","sigmaP_hi_r"
"ICCAT-ALBAMED-1956-2011-CHING","ALBAMED","multinational","Mediterranean-Black Sea","Mediterranean Sea","Biomass dynamics model","BSPM","Bayesian Surplus Production Model","Thunnus alalunga","Albacore tuna",NA,28900,"finfish","Actinopterygii","Perciformes","Scombridae","Thunnus","species",141.864513874259,0.180272954729569,37.6774853497062,15.0009396105679,4.74425572570805,0.255720222864568,81.3580941439297,15.824897072437,"pelagic-oceanic",300,0,600,NA,NA,4.13,"hunting macrofauna (predator)","Mediterranean Sea",37,19.62365234,38.15246801,38.15246801,2996793.212,46,1965,2010,18.9035478183777,0.0161270953254856,331000,320913.043478261,-417.39130434782,-0.00126100091947983,2504.30434782609,46,1.91978260869565,46,0.0797826086956522,18.9147045593248,0.00244827121261748,0.308412176348836,0.0538921405189175,0.218972351369814,0.434383929866946,0.99663727347684,0.00484905895189523,0.987178291097859,1.00618689029182,-0.0916172007945502,0.331212545871773,-0.740793790703225,0.557559389114124,"none",0.00644430367810789,0.000671864878779377,0.00525327941598749,0.0079053571316401,0.302313479456553,0.049607403053225,0.21916897467546,0.416999896981134,0.996788329188688,0.00497392253694331,0.987086959497072,1.00658504668425,-0.0449636856433616,0.248438216038055,-0.53190258907795,0.441975217791227,"none",0.00649411992878625,0.000680751783403188,0.00528799116784927,0.00797535251304355
"ICCAT-ALBANATL-1930-2015-PONS","ALBANATL","multinational","Atlantic Ocean","Northern Atlantic","Biomass dynamics model","ASPIC","Surplus production model","Thunnus alalunga","Albacore tuna",NA,36650,"finfish","Actinopterygii","Perciformes","Scombridae","Thunnus","species",141.864513874259,0.180272954729569,37.6774853497062,15.0009396105679,4.74425572570805,0.255720222864568,81.3580941439297,15.824897072437,"pelagic-oceanic",300,0,600,NA,NA,4.13,"hunting macrofauna (predator)","North Atlantic Ocean",27,-22.60445843,48.72759957,48.72759957,48163510.69,61,1950,2010,12.8344476305797,0.00709076299978337,726000,400606.557377049,-7690.48122686412,-0.0105929493482977,40040.9836065574,61,0.920311475409836,61,1.2434262295082,12.8320693722707,0.00314148445704617,0.110955902362062,0.00400179595351919,0.103383194493192,0.119083302942338,1.34693708598533,0.0395626796138346,1.27158407219132,1.42675545666138,-0.273720674980986,0.0860218536646358,-0.442323508163672,-0.1051178417983,"negative",0.0061793313549725,0.000559450187796368,0.00517458978561974,0.00737916193872227,0.110840246796701,0.00403495351195275,0.103207283784652,0.119037725434071,1.34814772776285,0.0400030885728976,1.27197809291078,1.4288786151285,-0.259521696765043,0.0841107378024427,-0.424378742857831,-0.0946646506722554,"negative",0.00622902022126594,0.000568342493328407,0.0052089929641354,0.00744878965744201
"ISC-ALBANPAC-1950-2012-PONS","ALBANPAC","multinational","US West Coast","North Pacific Ocean","Integrated Analysis","SS3","Stock Synthesis v3.0 model","Thunnus alalunga","Albacore tuna",NA,105571,"finfish","Actinopterygii","Perciformes","Scombridae","Thunnus","species",141.864513874259,0.180272954729569,37.6774853497062,15.0009396105679,4.74425572570805,0.255720222864568,81.3580941439297,15.824897072437,"pelagic-oceanic",300,0,600,NA,NA,4.13,"hunting macrofauna (predator)","North Pacific Ocean",77,-145.2833584,24.74631391,24.74631391,59775902.61,46,1966,2011,21.3497012794813,0.00919617841210045,1040000,736260.869565217,-8042.79987665738,-0.00773346141986287,77576.0869565217,46,2.41978260869565,46,0.726891304347826,21.2934902446667,0.00434215507957258,0.0610006330032682,0.00337778065043699,0.0547267925800462,0.0679937020127167,5.09789055427299,0.484874906177068,4.23086155164705,6.14259951220303,0.961912596057578,0.204199551087249,0.561681475926571,1.36214371618859,"positive",0.0179687456804527,0.00187489837551835,0.0146453546191172,0.0220462958887539,0.0616015690959619,0.00344276360381382,0.0552101964477343,0.0687328348609832,5.06336375639115,0.487790419015016,4.19213467542375,6.11565574928577,0.720744985889927,0.187474737418354,0.353294500549953,1.0881954712299,"positive",0.018402182472412,0.00197797259709943,0.0149064972892754,0.0227176319947131
"ICCAT-ALBASATL-1950-2015-PONS","ALBASATL","multinational","Atlantic Ocean","South Atlantic","Biomass dynamics model","ASPIC","Surplus production model","Thunnus alalunga","Albacore tuna",NA,25147.5,"finfish","Actinopterygii","Perciformes","Scombridae","Thunnus","species",141.864513874259,0.180272954729569,37.6774853497062,15.0009396105679,4.74425572570805,0.255720222864568,81.3580941439297,15.824897072437,"pelagic-oceanic",300,0,600,NA,NA,4.13,"hunting macrofauna (predator)","South Atlantic Ocean",41,-22.26538976,-42.90916794,42.90916794,46463577.26,56,1956,2011,10.812068588408,0.00765882068144188,398000,255946.428571429,-4949.52153110051,-0.0124359837464837,23680.6428571429,56,1.40591071428571,56,0.811703571428571,10.747078541447,0.0055812050658528,0.185445088050268,0.00812196864998693,0.170190156318036,0.202067389947671,1.0548526721297,0.0182425293698916,1.01969650838984,1.09122091793391,-0.398724415860652,0.21283920213856,-0.815889252052229,0.0184404203309247,"none",0.00812398806000209,0.000767644460592523,0.00675051395828379,0.00977691215912036,0.182713935370116,0.00784798265577171,0.167961576005422,0.198762020293007,1.06023286746477,0.0185073517665065,1.02457198067051,1.09713495436108,-0.295078060619161,0.188008639702335,-0.663574994435737,0.0734188731974146,"none",0.0082019234581236,0.00078226529919498,0.00680346511442479,0.00988783616605724
"AFSC-ALPLAICBSAI-1972-2010-STACHURA","ALPLAICBSAI","USA","US Alaska","Bering Sea and Aleutian Islands","Statistical catch at age model","AD-CAM","an AD-Model builder statistical Catch at Age Model","Pleuronectes quadrituberculatus","Alaska plaice",NA,NA,"finfish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronectes","species",49.156977684204,0.122501247156982,1.40455979374377,36.1242037762265,7.35238763079994,0.128915032457181,28.1003651952934,5.65492455346262,"bathydemersal",300,0,600,NA,NA,3.18,"hunting macrofauna (predator)","East Bering Sea",67,-167.8233611,58.73260212,58.73260212,424076.2291,35,1975,2009,3.99084778591,0.00840378677121434,831000,686457.142857143,608.123249299714,0.000731796930565236,15334.8571428571,35,1.604,35,0.189105714285714,3.86106293056631,0.00309291949657531,0.1497724278089,0.039324277498908,0.0895233080513341,0.250569160367816,1.06765174169624,0.0739652529931609,0.932091633092728,1.22292723277092,-0.06830674965913,0.243478479741625,-0.545524569952714,0.408911070634454,"none",0.0224085572738741,0.00267833398199102,0.0177285826785524,0.0283239471649347,0.145659195854067,0.0397758848957841,0.0852887551077647,0.24876200045417,1.07130977110577,0.0778006829090124,0.929175932092279,1.23518548643672,-0.0495266065526219,0.207241480635469,-0.45571990859814,0.356666695492896,"none",0.0226341808501118,0.00272385859907779,0.0178783321388361,0.028655141809493
"DFO-AMPL23K-1960-2012-WATSON","AMPL23K","Canada","Canada East Coast","Labrador - NE Newfoundland","Unknown","unknown","Unknown","Hippoglossoides platessoides","American plaice",NA,NA,"finfish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossoides","species",62.5789650345892,0.107111675628409,2.55834895069748,26.9517303990365,7.47805125626533,0.210817512287924,31.9300381515836,3.09604437483178,"demersal",1505,10,3000,90,250,3.61,"hunting macrofauna (predator)","Labrador Sea",21,-52.93915522,54.47519629,54.47519629,964040.9848,33,1978,2010,4.37633716364557,0.0401338074605563,332000,91927.2727272727,-9093.38235294123,-0.0273897058823531,1119.24242424242,0,NA,0,NA,4.38286910997402,0.00115277589038278,0.00105678135578506,0.049295073548285,2.07847853239437e-43,5.37309775650364e+36,2.93477239279335e-06,0.00062570120869298,9.67892919423176e-188,8.89859696735391e+175,-1.60430273622048,0.80903647376209,-3.19001422479418,-0.0185912476467869,"negative",0.0853016873922769,0.0104999083914605,0.0670162410730294,0.108576335459347,0.0690351865511708,0.0968590131522361,0.00441346982842266,1.07984356241951,0.20458590818383,0.334855878775995,0.00827268394226021,5.05946971013701,-0.304453452872993,0.348858301022735,-0.988215722877554,0.379308817131568,"none",0.0898231633996879,0.0112313280713447,0.0702997318035018,0.114768584120333
"MARAM-ANCHOSA-1984-2011-deMoor","ANCHOSA","South Africa","South Africa","South Africa","Biomass dynamics model","ASPM","Age-structured surplus production model","Engraulis encrasicolus","Anchovy",NA,NA,"finfish","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","species",18.2078408527517,0.48448519812328,0.0365596468918355,4.7532367952289,1.16282032017003,0.858747908570136,10.2242200340028,14.1698052263871,"pelagic-neritic",200,0,400,NA,NA,3.12,"selective plankton feeding","Agulhas Current",47,24.44333249,-33.50783277,33.50783277,1075429.326,27,1984,2010,20.2381131657876,0.0172719653100397,4970000,1882037.03703704,74808.3028083035,0.0150519723960369,239588.888888889,0,NA,0,NA,20.0122487368979,0.00687624296672302,0.0965178451550894,0.174218241325095,0.00280627004180071,3.31960014347164,0.895119431130307,0.454478167260128,0.33089733158821,2.42141208011963,5.79781543652106,4.04833515774685,-2.13692147266276,13.7325523457049,"none",0.140049606393943,0.0190583311107213,0.107262013305198,0.182859631725258,0.349444198115157,0.144075070137135,0.155748140896957,0.784030209883108,0.658345817515149,0.121741021186157,0.458191861241621,0.945933902590934,0.0136526363325465,0.363520365675771,-0.698847280391966,0.726152553057059,"none",0.144293277261642,0.0196389175805228,0.110507533093998,0.188408421398702
"FAJ-APOLLPJPN-1975-2014-KUROTA","APOLLPJPN","Japan","Russia Japan","Pacific Coast of Japan","VPA","VPA","Virtual Population Analysis","Theragra chalcogramma","Walleye pollock",NA,NA,"finfish","Actinopterygii","Gadiformes","Gadidae","Theragra","species",64.1972130532834,0.256760882756684,1.58398853511185,11.359642388051,2.68566106435254,0.406954615049328,35.5722567835548,4.28400042434099,"benthopelagic",NA,NA,1280,30,400,3.6800000667572,"hunting macrofauna (predator)","Kuroshio Current",61,143.4974189,41.2496328,41.2496328,106686.868,33,1981,2013,10.0557977380154,0.0297201323933268,1370000,1124393.93939394,-650.401069518687,-0.000474745306218029,185666.666666667,0,NA,0,NA,9.92786511923495,0.00723984950523905,0.304347626259639,0.140021312353668,0.123523659413207,0.749876404649114,1.41102300452777,0.364054180920959,0.8509692750757,2.33966839652285,0.0367958060299746,0.238577613232614,-0.430816315905949,0.504407927965898,"none",0.0782456209523544,0.00963136693522748,0.0614727276543235,0.0995950144370879,0.298430586085292,0.140129355634046,0.11889146243476,0.749093441087765,1.4160571366243,0.374298318756581,0.843496696853771,2.37726812880719,0.0236794089308648,0.203907679952268,-0.375979643775581,0.423338461637311,"none",0.0790932289831999,0.00980858486007401,0.0620265105528171,0.100855889122797
"AFSC-ARFLOUNDBSAI-1970-2010-STACHURA","ARFLOUNDBSAI","USA","US Alaska","Bering Sea and Aleutian Islands","Statistical catch at age model","AD-CAM","an AD-Model builder statistical Catch at Age Model","Atheresthes stomias","Arrowtooth flounder",NA,NA,"finfish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes","species",68.5489097441645,0.119846732300758,3.65077103261616,23.6760107532432,5.946775373065,0.176256804273318,34.1306404578802,9.3717240578145,"demersal",484,18,950,NA,NA,4.05,"hunting macrofauna (predator)","East Bering Sea",67,-169.6445003,56.74573122,56.74573122,372021.1683,34,1976,2009,5.11656985001907,0.00660386346781213,1050000,574147.058823529,24683.4224598924,0.0235080213903737,12937.3529411765,34,1.58502941176471,34,0.163629411764706,4.91877482997256,0.00452631680494866,0.050108112768054,0.00781442474684078,0.03691132450663,0.0680231066952101,2.64632707360772,0.641242387394262,1.64581716000713,4.25505770062506,0.200282398668672,0.100123938649841,0.00403947891498424,0.396525318422359,"positive",0.00869185192737902,0.00105404151863835,0.00685310060844678,0.011023957511198,0.0501264626275283,0.00790992162324613,0.0367913366836128,0.0682949433763887,2.64092332867976,0.64655426114298,1.63440507493951,4.26728730527414,0.185912564066762,0.0982678251897069,-0.00669237330506386,0.378517501438587,"none",0.00881761506318011,0.00108413446481351,0.00692936030041691,0.0112204203608438
"AFSC-ARFLOUNDGA-1958-2010-STACHURA","ARFLOUNDGA","USA","US Alaska","Gulf of Alaska","Statistical catch at age model","AD-CAM","an AD-Model builder statistical Catch at Age Model","Atheresthes stomias","Arrowtooth flounder",NA,254271,"finfish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes","species",68.5489097441645,0.119846732300758,3.65077103261616,23.6760107532432,5.946775373065,0.176256804273318,34.1306404578802,9.3717240578145,"demersal",484,18,950,NA,NA,4.05,"hunting macrofauna (predator)","Gulf of Alaska",67,-151.3650363,57.11169575,57.11169575,331532.6396,46,1964,2009,7.39096841607354,0.01192848150218,2190000,1231586.95652174,45262.1029910577,0.020667626936556,10979.7391304348,46,1.46382608695652,46,0.0703069565217391,7.41349583822129,0.00183476402523493,0.0531891934833168,0.0138782532972215,0.0318949373856619,0.08870029337877,1.50121119370284,0.308078993059316,1.00404865462421,2.24454764987676,0.120734250381347,0.271610672993455,-0.411622668685824,0.653091169448518,"none",0.0182198458155121,0.00189954960403441,0.0148524876800193,0.0223506518700983,0.0526585463716283,0.0138152915871898,0.0314881273891574,0.0880624773808478,1.50141626504905,0.310593385980207,1.00095009118502,2.2521110900595,0.0763261045299495,0.220983368020417,-0.356801296790068,0.509453505849967,"none",0.0183563899815569,0.00192325818591485,0.0149486683140611,0.0225409411778876
