"type","lme","n","msy_tmt","lat_dd","sst_c_mean","sst_c_slope_10yr","betaT","ts_slope","ts_pval","ts_slope_sd","ts_pval_sd","pdiff"
"LME","Agulhas Current",5,761.155086081306,-22.0552505478497,25.0160047438172,0.0763248905310598,-0.0417390386351983,-2503.16603352757,6.57900949955088e-105,-0.00314643382901634,6.57900949955088e-105,-2.96979731674357
"LME","Baltic Sea",5,828.708596288804,58.9223674027633,7.50902998599622,0.0884273103317036,0.199302742399276,11597.4399071771,9.42001190493428e-52,0.0118462318145375,9.42001190493428e-52,11.1888870449992
"LME","Barents Sea",5,2633.78991589231,76.3842810438223,1.12340667463716,0.0787006924434034,0.0279087185014136,3967.52861058656,1.11131677428513e-80,0.00147522251905778,1.11131677428513e-80,1.70244521856414
"HSA","Bay of Biscay",1,7.16123637181367,45.3819809862644,14.9716097262007,0.0840462963408549,0.00586053586373684,6.22478911518669,5.40413748506243e-49,0.000862530183872764,5.40413748506243e-49,1.04666722150426
"LME","Benguela Current",3,176.595587081526,-21.2509089857221,19.5979049367948,0.0788234343539438,-0.0506642594725207,-1120.05479473476,5.07578240353729e-79,-0.00585315006562561,5.07578240353729e-79,-6.03367772814293
"LME","California Current",29,286.528934796812,33.2488814448912,16.5154483468658,0.0341440504603669,0.0195908388795476,-14.5115869478736,0.0697087664355698,-5.01294826705175e-05,0.0697087664355698,-0.0695960159106508
"LME","Canary Current",2,712.884250952231,24.6664487066675,21.0202107541791,0.0661366171468723,0.036502809491583,2228.75680726933,2.40050859166558e-39,0.0029466745350553,2.40050859166558e-39,4.01548873478437
"LME","Celtic-Biscay Shelf",15,293.969389240355,51.6896860395118,12.462906778472,0.0637676746808394,-0.246690191490894,-3278.44189687181,1.10566918588758e-32,-0.00928818105976084,1.10566918588758e-32,-15.160577176858
"LME","East Bering Sea",14,3297.39962363885,57.1585921746313,4.68146007173091,0.0377392872947924,-0.0180738297582244,-5306.81577113846,8.34854003134507e-07,-0.00148930437286214,8.34854003134507e-07,-2.07234389296324
"LME","East China Sea",5,1907.50842789345,29.5836730133567,21.525587057801,0.142447620489375,-0.0457568351659918,-17185.3357828721,4.90283001985884e-114,-0.00803610612555998,4.90283001985884e-114,-8.34305925540856
"LME","Faroe Plateau",3,86.6856992221444,61.4950585352395,9.16917631126835,0.0179954808866069,-0.0722452722175405,48.2303199554772,0.389037148520441,0.000523921909627464,0.389037148520441,-3.47560117539426
"LME","Greenland Sea",1,1029.26277786677,73.7209561438615,1.13326840644469,0.0305175454663521,-0.00667830601685983,-108.140201660091,1.12784445757362e-27,-0.00010477523916046,1.12784445757362e-27,-0.195484959739141
"LME","Gulf of Alaska",20,356.150828145161,54.0632115843835,8.98372600981728,0.0141830973511575,-0.012038248592066,-586.755305066477,2.75443581475371e-05,-0.00152021826726388,2.75443581475371e-05,-2.07512398601233
"LME","Gulf of Mexico",3,1.95030765253124,24.9786911251143,25.9037917559096,-3.00572086395732e-06,0.0116142035437113,-0.743642667977439,3.03168536140549e-40,-0.000378636822543979,3.03168536140549e-40,-0.167703388332683
"LME","Humboldt Current",16,10178.6433360343,-32.4637033243962,15.1477637505822,0.0767284468742198,-0.0117787316545199,28.6224827353288,0.202438679654478,2.73275985728535e-06,0.202438679654478,-0.163654809979211
"LME","Iberian Coastal",2,3.08074832717976,41.0791550011273,16.2066452563516,0.0850813172822656,-0.143752106582,-59.8412948585977,6.72675986006652e-84,-0.0155505550677433,6.72675986006652e-84,-19.1718778068798
"LME","Iceland Shelf and Sea",5,1261.01868148029,66.3074219192665,4.6148840550414,0.0306367276171637,-0.0405950861940617,-553.953090099341,1.30025269259338e-05,-0.000423085311859365,1.30025269259338e-05,-3.03353100952153
"HSA","Indian Ocean",4,452.361786189173,-33.7704912077702,15.2976744375464,0.065522884034506,0.089344707140993,4374.56844289136,2.94151528806244e-198,0.00901175296767158,2.94151528806244e-198,7.29762350937388
"LME","Kuroshio Current",6,3720.82987566054,30.9823532304985,22.1359312454367,0.121399883137323,-0.149827556926319,-67402.9816654852,9.06189135736152e-104,-0.0147573713658142,9.06189135736152e-104,-17.4144163569033
"LME","Labrador - Newfoundland",8,291.955634514425,49.9991832200601,4.51877349708848,0.017050606538153,0.332783459758532,2802.29520196659,3.51429213258624e-13,0.00686155678197382,3.51429213258624e-13,14.1622459925084
"HSA","Labrador Sea",2,138.529586272549,57.0287712634191,4.2470721007845,0.0419124954356396,-0.0538520589860883,66.7303481372965,0.231115531710526,0.000461333871647909,0.231115531710526,-2.04700160570661
"LME","Mediterranean Sea",2,40.0635900132783,37.1125510591608,19.6701167738952,0.024530332533418,0.0142999198724565,11.3279105047258,1.79928478015276e-12,0.000280051565162224,1.79928478015276e-12,0.617078632254709
"LME","New Zealand Shelf",9,5.82719007292736,-40.7747036472131,15.1135116105522,0.0486588414876416,0.0332130343673193,18.4833681127589,6.50856926770756e-60,0.00301920923221355,6.50856926770756e-60,2.95409726492132
"HSA","North Atlantic Ocean",6,328.845479730132,31.424521797511,20.4436479790893,0.0231947001361049,-0.113515995420046,-1440.48875245844,9.1153005166795e-155,-0.00429627105474027,9.1153005166795e-155,-4.69863517107675
"LME","North Brazil Shelf",1,17.3227067424506,4.55532382088,27.6873347389214,0.0224701186904015,-0.00303610001817786,-1.12811278847405,1.8435195182999e-59,-6.50733392031202e-05,1.8435195182999e-59,-0.0984129272325025
