"lme_name","stockid","spp_name","area","sst_c_avg","sst_c_trend_10yr","betaT","betaT_inf","msy1","msy2","msy_pdiff"
"Labrador Sea","ACADRED2J3K","Acadian redfish (Sebastes fasciatus)","NAFO Division 2J3K",5.5,0.41,-0.04,"none",122241.71,120081.65,-1.8
"Scotian Shelf","ACADREDUT3","Acadian redfish (Sebastes fasciatus)","Unit 3",13.5,0.14,0.02,"none",21626.581,21802.722,0.8
"Mediterranean Sea","ALBAMED","Albacore tuna (Thunnus alalunga)","Mediterranean Sea",18.9,0.16,0,"none",27934.301,27968.548,0.1
"North Atlantic Ocean","ALBANATL","Albacore tuna (Thunnus alalunga)","Northern Atlantic",12.8,0.07,-0.2,"negative",37116.302,34299.328,-7.6
"North Pacific Ocean","ALBANPAC","Albacore tuna (Thunnus alalunga)","North Pacific Ocean",21.3,0.09,0.06,"none",122099.2,125226.72,2.6
"South Atlantic Ocean","ALBASATL","Albacore tuna (Thunnus alalunga)","South Atlantic",10.8,0.08,-0.12,"none",26005.383,24702.952,-5
"East Bering Sea","ALPLAICBSAI","Alaska plaice (Pleuronectes quadrituberculatus)","Bering Sea and Aleutian Islands",4,0.08,0.01,"none",62123.7939398877,62426.3556218649,0.5
"Labrador Sea","AMPL23K","American plaice (Hippoglossoides platessoides)","Labrador - NE Newfoundland",4.4,0.4,-0.11,"none",15346.44,14482.259,-5.6
"Agulhas Current","ANCHOSA","Anchovy (Engraulis encrasicolus)","South Africa",20.2,0.17,-0.04,"none",391380.94,380315.75,-2.8
"Kuroshio Current","APOLLPJPN","Alaska pollock (Theragra chalcogramma)","Pacific Coast of Japan",10.1,0.3,-0.07,"none",223282.96,213187.25,-4.5
"East Bering Sea","ARFLOUNDBSAI","Arrowtooth flounder (Atheresthes stomias)","Bering Sea and Aleutian Islands",5.1,0.07,-0.2,"negative",14079.2879581857,12976.8775647727,-7.8
"Gulf of Alaska","ARFLOUNDGA","Arrowtooth flounder (Atheresthes stomias)","Gulf of Alaska",7.4,0.12,-0.01,"none",47795.4613397334,47680.3782555894,-0.2
"California Current","ARFLOUNDPCOAST","Arrowtooth flounder (Atheresthes stomias)","Pacific Coast",13.3,0.07,0.14,"none",8957.2984,8830.1434,-1.4
"Patagonian Shelf","ARGHAKENARG","Argentine hake (Merluccius hubbsi)","Northern Argentina",14.5,0.34,-0.01,"none",136330.91,135062.28,-0.9
"East Bering Sea","ATKABSAI","Atka mackerel (Pleurogrammus monopterygius)","Bering Sea and Aleutian Islands",5.9,0.02,-0.01,"none",75759.7313089471,75331.0895401621,-0.6
"South Pacific Ocean","BIGEYEWPO","Bigeye tuna (Thunnus obesus)","Western Pacific Ocean",24.6,0.08,0.11,"none",57355.807,60529.736,5.5
"Southeast Australian Shelf","BIGHTREDSE","Bight redfish (Centroberyx gerrardi)","Southeast Australia",16.7,0.1,0.11,"none",546.342558620704,578.667107543078,5.9
"California Current","BLACKROCKNPCOAST","Black rockfish (Sebastes melanops)","Northern Pacific Coast",11.8,0.23,0.1,"none",450.11002,453.49763,0.8
"California Current","BLACKROCKSPCOAST","Black rockfish (Sebastes melanops)","Southern Pacific Coast",13.3,0.1,0,"none",567.60031,567.82795,0
"Southeast U.S. Continental Shelf","BLUEFISHATLC","Bluefish (Pomatomus saltatrix)","Atlantic Coast",21.8,-0.04,0.09,"none",15193.946,14760.082,-2.9
"California Current","BLUEROCKCAL","Blue rockfish (Sebastes mystinus)","California",13,-0.02,-0.01,"none",162.82289,163.02422,0.1
"East China Sea","BMACKECS","Blue mackerel (Scomber australasicus)","East China Sea",21.4,0.04,-0.05,"none",65101.844,60996.148,-6.3
"North Atlantic Ocean","BMARLINATL","Blue marlin (Makaira nigricans)","Atlantic Ocean",11.9,0.08,-0.06,"none",1693.4837,1650.6836,-2.5
"Indian Ocean","BMARLINIO","Indo-Pacific blue marlin (Makaira mazara)","Indian Ocean",24.2,0.12,0.12,"none",7131.3356,7644.7844,7.2
"Gulf of Alaska","BOCACCBCW","Bocaccio (Sebastes paucispinis)","British Columbia Waters",9.9,0.03,-0.03,"none",748.1706,741.49165,-0.9
"California Current","BOCACCSPCOAST","Bocaccio (Sebastes paucispinis)","Southern Pacific Coast",13.7,-0.04,0.02,"none",2057.9316,2051.8708,-0.3
"Northeast U.S. Continental Shelf","BSBASSMATLC","Black sea bass (Centropristis striata)","Mid-Atlantic Coast",15.3,0.08,0.16,"positive",3325.4889,3525.4966,6
"Southeast U.S. Continental Shelf","BSBASSSATL","Black sea bass (Centropristis striata)","South Atlantic",24.5,-0.08,0.1,"none",984.39925,916.70005,-6.9
"Humboldt Current","BSQLOBSTERCH","Blue squat lobster (Cervimunida johni)","Chilean EEZ and offshore",13,-0.06,-0.08,"none",6634.5715,6386.3852,-3.7
"Humboldt Current","BWHITCH","Blue whiting (Micromesistius poutassou)","Chilean EEZ and offshore",12.9,-0.03,-0.01,"none",2551.154,2534.1879,-0.7
"Norwegian Sea","BWHITNEA","Blue whiting (Micromesistius poutassou)","Northeast Atlantic",3.8,0.23,0.02,"none",1259317.6,1271002.8,0.9
"California Current","CABEZNCAL","Cabezon (Scorpaenichthys marmoratus)","Northern California",12.9,-0.03,0.07,"none",36.759783,36.293236,-1.3
"California Current","CABEZORECOAST","Cabezon (Scorpaenichthys marmoratus)","Oregon Coast",12.6,-0.01,0.03,"none",39.858992,39.789836,-0.2
"California Current","CABEZSCAL","Cabezon (Scorpaenichthys marmoratus)","Southern California",16,0.04,0,"none",85.395023,85.396244,0
"Barents Sea","CAPENOR","Capelin (Mallotus villosus)","Barents Sea",0,0.05,-0.01,"none",1460108.84587483,1456388.3746357,-0.3
"Benguela Current","CHAKESA","Shallow-water cape hake (Merluccius capensis)","South Africa",18.6,0.14,-0.04,"none",44180.699,43194.702,-2.2
"Humboldt Current","CHERRCHVX","Chilean herring (Clupea bentincki)","Chilean EEZ and offshore region V-X",15.2,-0.01,-0.07,"none",853141.34,815425.57,-4.4
"California Current","CHILISPCOAST","Chilipepper rockfish (Sebastes goodei)","Southern Pacific Coast",13.3,0.04,0.04,"none",2312.3157,2302.2714,-0.4
"Benguela Current","CHSQUIDSA","Cape Hope squid (Loligo reynaudii)","South Africa",18.5,0.13,-0.03,"none",7350.3906,7228.5647,-1.7
"Humboldt Current","CHTRACCH","Chilean jack mackerel (Trachurus murphyi)","Chilean EEZ and offshore",12.9,0.1,-0.01,"none",9.3289605e-13,9.2734996e-13,-0.6
"Kuroshio Current","CMACKPJPN","Chub mackerel (Scomber japonicus)","Pacific Coast of Japan",18.5,0.15,-0.2,"none",854906.57,715484.94,-16.3
"East China Sea","CMACKTSST","Chub mackerel (Scomber japonicus)","Tsushima Strait",18.7,0.14,-0.15,"none",388254.13,327449.21,-15.7
"Labrador - Newfoundland","COD3M","Atlantic cod (Gadus morhua)","Flemish Cap",14.6,0.33,0.37,"none",34101.135,33038.532,-3.1
"Labrador - Newfoundland","COD3NO","Atlantic cod (Gadus morhua)","Southern Grand Banks",12.8,0.37,0.26,"none",26684.492,26792.064,0.4
"Labrador - Newfoundland","COD3Pn4RS","Atlantic cod (Gadus morhua)","Northern Gulf of St. Lawrence",5.5,0.37,0.46,"positive",50360.607,73490.338,45.9
"Labrador - Newfoundland","COD3Ps","Atlantic cod (Gadus morhua)","St. Pierre Bank",7.5,0.48,0.36,"none",14928.29,16788.752,12.5
"Baltic Sea","CODBA2532","Atlantic cod (Gadus morhua)","Eastern Baltic",7.5,0.2,0.01,"none",282985.42,284670.74,0.6
